,Date,AAPL,ABBV,ABT,AMZN,ASML,AVGO,BABA,BHP,EDU,GOOG,GOOGL,LLY,MRK,MSFT,NVO,NVS,TSLA,UNH,UPS,V,WFC,WMT
127,2018-12-03,46.20500183105469,93.66000366210938,74.2699966430664,1772.3599853515625,177.66000366210938,242.07000732421875,163.74000549316406,46.5,6.099999904632568,1106.4300537109375,1116.3599853515625,118.5199966430664,79.22000122070312,112.08999633789062,46.040000915527344,81.99820709228516,71.697998046875,286.3299865722656,115.2699966430664,145.0,54.2400016784668,98.75
128,2018-12-04,44.17250061035156,90.55000305175781,71.5,1668.4000244140625,169.63999938964844,232.0399932861328,158.33999633789062,45.880001068115234,5.994999885559082,1050.8199462890625,1062.469970703125,116.5199966430664,78.20999908447266,108.5199966430664,45.68000030517578,81.33512878417969,71.94000244140625,278.54998779296875,106.7699966430664,138.63999938964844,51.779998779296875,95.80999755859375
129,2018-12-06,43.68000030517578,90.33000183105469,71.54000091552734,1699.18994140625,166.35000610351562,227.24000549316406,155.8300018310547,44.869998931884766,5.9629998207092285,1068.72998046875,1078.0799560546875,115.83999633789062,78.37000274658203,109.19000244140625,45.63999938964844,79.79390716552734,72.61199951171875,276.8500061035156,108.04000091552734,141.0500030517578,51.09000015258789,94.7699966430664
130,2018-12-07,42.122501373291016,86.95999908447266,69.94999694824219,1629.1300048828125,159.52999877929688,228.55999755859375,153.05999755859375,44.58000183105469,5.75,1036.5799560546875,1046.5799560546875,113.58000183105469,76.72000122070312,104.81999969482422,45.380001068115234,78.02867126464844,71.59400177001953,269.17999267578125,105.31999969482422,137.11000061035156,50.2599983215332,93.19000244140625
131,2018-12-10,42.400001525878906,87.61000061035156,70.91999816894531,1641.030029296875,161.41000366210938,239.25,151.42999267578125,44.900001525878906,5.497000217437744,1039.550048828125,1053.1800537109375,114.08999633789062,77.41999816894531,107.58999633789062,45.95000076293945,77.86738586425781,73.02999877929688,266.5299987792969,104.4000015258789,137.8800048828125,48.79999923706055,93.94000244140625
132,2018-12-11,42.157501220703125,88.16999816894531,71.83999633789062,1643.239990234375,161.47000122070312,246.83999633789062,151.8300018310547,45.90999984741211,5.451000213623047,1051.75,1061.6500244140625,114.5,77.11000061035156,108.58999633789062,45.20000076293945,78.15412139892578,73.35199737548828,267.2200012207031,103.58000183105469,136.80999755859375,47.7599983215332,93.8499984741211
133,2018-12-12,42.275001525878906,88.5999984741211,72.52999877929688,1663.5400390625,165.22000122070312,254.97999572753906,151.5,46.61000061035156,5.691999912261963,1063.6800537109375,1073.72998046875,114.33999633789062,78.01000213623047,109.08000183105469,46.0099983215332,78.96953582763672,73.31999969482422,270.6400146484375,101.20999908447266,137.8000030517578,47.7400016784668,93.11000061035156
134,2018-12-13,42.73749923706055,87.70999908447266,72.18000030517578,1658.3800048828125,164.08999633789062,258.29998779296875,151.47999572753906,47.689998626708984,5.635000228881836,1061.9000244140625,1073.5400390625,114.86000061035156,79.01000213623047,109.44999694824219,46.77000045776367,79.21147155761719,75.35800170898438,272.1499938964844,100.77999877929688,137.5399932861328,47.029998779296875,92.95999908447266
135,2018-12-14,41.369998931884766,85.61000061035156,70.76000213623047,1591.9100341796875,161.02999877929688,254.8300018310547,149.0,46.15999984741211,5.669000148773193,1042.0999755859375,1051.7099609375,111.93000030517578,76.4800033569336,106.02999877929688,46.5,78.30644989013672,73.14199829101562,265.0199890136719,98.66000366210938,135.08999633789062,46.540000915527344,91.8499984741211
136,2018-12-17,40.98500061035156,84.93000030517578,69.75,1520.9100341796875,160.60000610351562,254.1300048828125,143.97999572753906,46.9900016784668,5.585999965667725,1016.530029296875,1025.6500244140625,108.36000061035156,75.2300033569336,102.88999938964844,46.189998626708984,76.84587860107422,69.68399810791016,258.07000732421875,96.87000274658203,131.39999389648438,46.61000061035156,90.7699966430664
